# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Mar 11 13:34:12 CET 2022 [seed=1647002049270]
# -save_every 100000 -save_state tanzania_cp3.states tanzania_cp3.xml
state	gps
98400000	{-1.7996403307845203,34.53398474532153}
98800000	{-1.871536274829022,34.729124219576235}
99200000	{-1.9446249143923517,34.4794024850088}
99600000	{-1.765115669752087,34.486776870747306}
100000000	{-1.7814096644080406,34.57525041812752}
100400000	{-1.8134222990527915,34.60506215420702}
100800000	{-1.8755360372281276,34.67031875322724}
101200000	{-1.8193897254713616,34.72670660954136}
101600000	{-1.8768123771448066,34.69737186786008}
102000000	{-1.7220319575004523,34.59294670315069}
102400000	{-1.9056256377011092,34.504713604799086}
102800000	{-1.701240652015912,34.676714101097524}
103200000	{-1.827740196211346,34.82122594282397}
103600000	{-1.8140976495342505,34.57791542097426}
104000000	{-1.8423028949524416,34.70466622413727}
104400000	{-1.8077019395683196,34.59276401690971}
104800000	{-1.7229796223090128,34.7847794908682}
105200000	{-1.9048755549034222,34.78407201520221}
105600000	{-1.8172791752569784,34.580117118826784}
106000000	{-1.8276340005991116,34.627537558967695}
106400000	{-1.701836761736306,34.48600029627162}
106800000	{-1.898340722691558,34.60289242139425}
107200000	{-1.9008940231765952,34.69007569854844}
107600000	{-1.6649162004198836,34.668683826163246}
108000000	{-1.8998266724863628,34.64426563477493}
108400000	{-1.7957062050785526,34.747793083044165}
108800000	{-1.8171101144488264,34.53898974850013}
109200000	{-1.9049584221132003,34.70204548156089}
109600000	{-1.8317866137542922,34.666002225885364}
110000000	{-1.7996864653780822,34.50430670582271}
110400000	{-1.6590190658881718,34.68039207211266}
110800000	{-1.7552708465509368,34.710848700383615}
111200000	{-1.6186505455137354,34.49296787752363}
111600000	{-1.8203845627124977,34.8229498856787}
112000000	{-1.6989831224529401,34.53172052865238}
112400000	{-1.8054712804448505,34.88114931298942}
112800000	{-1.8363989715236984,34.77357880076742}
113200000	{-1.814947469917899,34.7637777235348}
113600000	{-1.785817440139325,34.45068818824215}
114000000	{-1.7596432302269671,34.593659006472386}
114400000	{-1.7534221798082767,34.60789090135869}
114800000	{-1.816282191841265,34.496179992021055}
115200000	{-1.8298916739087834,34.513934796224646}
115600000	{-1.898405936805727,34.78358978915276}
116000000	{-1.9371356713529453,34.6380189768185}
116400000	{-1.8145633201652234,34.69487106365825}
116800000	{-1.6230193679422713,34.50595834166523}
117200000	{-1.8458078779187188,34.655318411663934}
117600000	{-1.86547092242888,34.52235733547743}
118000000	{-1.8870035803784004,34.685725882635154}
118400000	{-1.760930300765463,34.64659062960492}
118800000	{-1.8058616206509925,34.62410740094682}
119200000	{-1.664212924540226,34.626385838739786}
119600000	{-1.823077333353498,34.76346879991593}
120000000	{-1.854381846423777,34.60367276532346}
120400000	{-1.9323385515771834,34.764046811392156}
120800000	{-1.7633465968709867,34.460053582943075}
121200000	{-1.6732563423279474,34.62736671575716}
121600000	{-1.8159848739288056,34.5029255244655}
122000000	{-1.79080961105338,34.535456669631955}
122400000	{-1.8206207327681707,34.720631179087206}
122800000	{-1.6497037789579534,34.80333481458038}
123200000	{-1.8547651024588476,34.9115521937387}
123600000	{-1.7782486719317392,34.54280712488588}
124000000	{-1.8757219689154243,34.71192574939777}
124400000	{-1.8469463983886933,34.467799854812924}
124800000	{-1.807650272509544,34.6300852517937}
125200000	{-2.037878918392458,34.90606177483265}
125600000	{-1.9095832951079903,34.74656734968996}
126000000	{-1.8129108777694598,34.67911525800537}
126400000	{-1.7886385200541648,34.68010897023859}
126800000	{-1.7939082229637826,34.509352250838184}
127200000	{-1.813128069941331,34.585772229767976}
127600000	{-1.8559919803040503,34.67811885592071}
128000000	{-1.722152853570233,34.69021334282705}
128400000	{-1.8183778913885265,34.75295648299065}
128800000	{-1.8244848022589268,34.62566131709106}
129200000	{-1.8741606997905138,34.65466516623569}
129600000	{-1.7567471298173893,34.44495164023615}
130000000	{-1.7433217088253614,34.71867377704738}
130400000	{-1.8416363237571822,34.6067235712426}
130800000	{-1.7974819786429712,34.726776606279884}
131200000	{-1.8044765673276486,34.696028005122656}
131600000	{-1.6966727487647455,34.5300082666513}
132000000	{-1.7639309691422063,34.51501941875833}
132400000	{-1.7813669839382271,34.491039518655484}
132800000	{-1.6959851191822732,34.60661251065732}
133200000	{-1.8972472017235438,34.60611015235359}
133600000	{-1.843949274478803,34.65108409172566}
134000000	{-1.9578251283235724,34.35162995695088}
134400000	{-1.6959942657877853,34.52357891749995}
134800000	{-1.8160406044264226,34.585383104488066}
135200000	{-1.8363253414560736,34.51219647275994}
135600000	{-1.8253664643401206,34.832641421001476}
136000000	{-1.7865684878899875,34.46097598504363}
136400000	{-1.7578103081815466,34.63566323968203}
136800000	{-1.7586707796517675,34.841236240125475}
137200000	{-1.8760629455167366,34.88294905268385}
137600000	{-1.8826450505912975,34.73181250822168}
138000000	{-1.9004113278511354,34.67217256957037}
138400000	{-1.7460422129075304,34.63234515771724}
138800000	{-1.6851366593190136,34.43088173763013}
139200000	{-1.6380076464758382,34.540047647713685}
139600000	{-1.9433204879934383,34.82171924539477}
140000000	{-1.7863061534877556,34.608815108427386}
140400000	{-1.770217183600911,34.49447210224499}
140800000	{-1.8302926630280698,34.829504473249266}
141200000	{-1.828426250256545,34.69801562235598}
141600000	{-1.7345361085834863,34.01382504512125}
142000000	{-2.033512397896111,34.187122983735456}
142400000	{-1.7470184498518897,34.59142542067454}
142800000	{-1.725742535663343,34.67543092686878}
143200000	{-1.7525806379749551,34.474942949900885}
143600000	{-1.8557716639206772,34.42568979804848}
144000000	{-1.75882231862372,34.50804833511148}
144400000	{-1.7399977851117765,34.600960729480846}
144800000	{-1.7329795880875316,34.72195730259521}
145200000	{-1.921746222660559,34.6949637366872}
145600000	{-1.918041903211187,34.77778894238332}
146000000	{-1.7311724842363947,34.58952370818531}
146400000	{-1.6243871831575738,34.33938747814577}
146800000	{-1.887674824495988,34.422927402414196}
147200000	{-1.4930439295690046,35.002120348115625}
147600000	{-1.8998010226683053,34.4591652918654}
148000000	{-1.7604685500188162,34.67284355835064}
148400000	{-1.8924676580315412,34.61683147258715}
148800000	{-1.8566523969968376,34.50684409047119}
149200000	{-1.7016848318178657,34.71688173029513}
149600000	{-1.9281402970784862,34.59994341019924}
150000000	{-1.8219624268421082,34.534756263325576}
150400000	{-1.7725351332544619,34.83758178753274}
150800000	{-1.7856248443836757,34.4021142739645}
151200000	{-1.804936090389654,34.7974881909262}
151600000	{-1.7224287788763162,34.88784777279239}
152000000	{-1.7121289551345058,34.551902099776676}
152400000	{-1.8451642977616296,34.7174642128507}
152800000	{-1.8104774066780027,34.73056850338819}
153200000	{-2.021238474665191,34.97377731527683}
153600000	{-1.8072303269463343,34.52671650238391}
154000000	{-1.8246418960718775,34.670960136122446}
154400000	{-1.8950556797200073,34.566649378718346}
154800000	{-1.8364104648816018,34.562439950617645}
155200000	{-1.701185635266543,34.67437928846569}
155600000	{-1.7816760418915605,34.5618794053745}
156000000	{-1.8015540930596137,34.82495827477008}
156400000	{-1.8466654300888432,34.479374290813325}
156800000	{-1.7896579251467906,34.55206294215204}
157200000	{-1.835635301679163,34.70537891030825}
157600000	{-1.8039739534005879,34.69548759361595}
158000000	{-1.810580974465238,34.63566423472296}
158400000	{-1.6225444405936866,34.76688208050119}
158800000	{-1.754113843533079,34.66386129339082}
159200000	{-1.8065014708457043,34.87760590114198}
159600000	{-1.7794777755516433,34.28414607251613}
160000000	{-1.7375191514121209,34.53686083073771}
160400000	{-1.9329663805475814,34.895602053750686}
160800000	{-1.9345138007448084,34.66347321897325}
161200000	{-1.7757928086163737,34.74654877463833}
161600000	{-1.7315883733046733,34.7444366636536}
162000000	{-1.8161189313078658,34.5650254090193}
162400000	{-1.6781970240365418,34.52213271148821}
162800000	{-1.9314108670997658,34.73372535912924}
163200000	{-1.8180301724660854,34.681764410142264}
163600000	{-1.8673870773437515,34.74303331780906}
164000000	{-1.5827667970953823,34.69314806750931}
164400000	{-1.7817701936277255,34.63380332272462}
164800000	{-1.8216720540817923,34.548131814043295}
165200000	{-1.7459314923588543,34.840811952247755}
165600000	{-1.8175115519430085,34.828267218551765}
166000000	{-1.8858137562519177,34.70051163774593}
166400000	{-1.7634360700651184,34.61154131751852}
166800000	{-1.699876618847841,34.48221217856847}
167200000	{-1.8010926437599428,34.51612028033732}
167600000	{-1.9411093357119,34.81522959174714}
168000000	{-1.6829667129629629,34.740159691305}
168400000	{-1.7999490473432962,34.71277008889248}
168800000	{-1.7875022114199142,34.59388992577972}
169200000	{-1.8297644114637106,34.74946074221952}
169600000	{-1.6927206149916991,34.47010083872508}
170000000	{-1.7916314979013717,34.666677077688036}
170400000	{-1.9021423985047963,34.697902102699345}
170800000	{-1.8117245241242057,34.35483206213159}
171200000	{-1.8584527669537836,34.39981772041337}
171600000	{-1.7139446713881474,34.57842025680323}
172000000	{-1.8114461118491934,34.52015465713204}
172400000	{-1.9102241432407627,34.83521884318529}
172800000	{-1.724781472806063,34.85911467702073}
173200000	{-1.7192203627156355,34.906050944974695}
173600000	{-1.798417587431254,34.63459476847372}
174000000	{-1.850835114735914,34.58476817468589}
174400000	{-1.7856281428179137,34.520263174004626}
174800000	{-1.8068054017491093,34.39901641059023}
175200000	{-1.7773914557913204,34.6133940251112}
175600000	{-1.8329553670429792,34.72387866063365}
176000000	{-1.8705236775650835,34.692720868357014}
176400000	{-1.9171021559704118,34.55296256965938}
176800000	{-1.8117775713431918,34.5577656423325}
177200000	{-1.864032966451614,34.65885470778817}
177600000	{-1.7995501123538375,34.4509785912497}
178000000	{-1.9207579587943124,34.52369318796915}
178400000	{-1.760332859075392,34.47307846733928}
178800000	{-1.8666563964911063,34.33497680116819}
179200000	{-1.8109580492395736,34.76152364735815}
179600000	{-1.7202218569169403,34.37116551944948}
180000000	{-1.7535595911310484,34.60348993359332}
180400000	{-1.8680575724373436,34.68980441279121}
180800000	{-1.8828279837800046,34.5906924971375}
181200000	{-1.6580858780626113,34.68052509072698}
181600000	{-1.802005313902147,34.664966022861066}
182000000	{-1.6449096061736794,34.686666047000976}
182400000	{-1.7679565943529356,34.71973617392398}
182800000	{-1.8601873321631945,34.55951604676506}
183200000	{-1.7009681821320535,34.38453377331317}
183600000	{-1.795679003642801,34.75498372541046}
184000000	{-1.8668680486966218,34.788640862336315}
184400000	{-1.752058908359511,34.726688899451275}
184800000	{-1.7871459694454874,34.569773841861895}
185200000	{-1.8061324916874915,34.44657406352731}
185600000	{-1.817270418514997,34.53146081920208}
186000000	{-1.7335832297333518,34.466908505686575}
186400000	{-1.834915277712145,34.64049391475361}
186800000	{-1.7341921243210467,34.62755535658351}
187200000	{-1.7991693335422094,34.65892361113629}
187600000	{-1.6390201579624808,34.613836020702934}
188000000	{-1.629944259293861,34.71326279946208}
188400000	{-1.791474302216128,34.67151157221633}
188800000	{-1.7787395264809767,34.53493553862938}
189200000	{-1.7838047577851275,34.34243588433307}
189600000	{-1.7955118080383827,34.84566394294861}
190000000	{-1.7048126027578983,34.51762807810245}
190400000	{-1.651697744380164,34.54196376192453}
190800000	{-1.9602897858767059,35.44180371242164}
191200000	{-1.6244291467369563,34.58960107843815}
191600000	{-1.8737056127780884,34.80353917026087}
192000000	{-1.8330065212149698,34.59051157027371}
192400000	{-1.8950939171076129,34.63776096620161}
192800000	{-1.8718310850993924,34.68459234119079}
193200000	{-1.9191804741604699,34.69013600473266}
193600000	{-1.9174200535953627,34.58520687592942}
194000000	{-1.8034456248689588,34.712663760375165}
194400000	{-1.8328330747050237,34.68844648581569}
194800000	{-1.732303541923241,34.73388796184343}
195200000	{-1.8021946544576148,34.831772352511784}
195600000	{-1.8333284093952171,34.57196937067051}
196000000	{-1.6563152306932767,34.39167924278364}
196400000	{-1.8273071292242102,34.64243178347647}
196800000	{-1.707539313905036,34.427292639939076}
197200000	{-1.817029329795107,34.62842703957069}
197600000	{-1.8667608300430942,34.62919212374679}
198000000	{-1.6619086398093181,34.72589155721791}
198400000	{-1.7510527686394675,34.41893005174347}
198800000	{-1.8426509245006175,34.743996715495804}
199200000	{-1.8526887389502396,34.758871061057114}
199600000	{-1.7555301942366162,34.642358257894685}
200000000	{-1.8158824422366786,34.59657472247156}
200400000	{-1.9094577099063723,34.683005915640955}
200800000	{-1.7083221483986946,34.59369901530162}
201200000	{-1.854324124657645,34.772850017389274}
201600000	{-1.7860865895807057,34.74958346345595}
202000000	{-1.8044233230403446,34.643781144040865}
202400000	{-1.8843715716156724,34.41938501639817}
202800000	{-1.6157620038459135,34.54774190224796}
203200000	{-1.7847082528445226,34.70042635106144}
203600000	{-1.840991603596272,34.56725969574159}
204000000	{-1.8066456619832079,34.79465286981629}
204400000	{-1.6856560476667608,34.505236428186564}
204800000	{-2.0429940577717263,34.681508860146494}
205200000	{-1.8336803793665042,34.55617968515543}
205600000	{-1.8382293047330573,34.35094270805861}
206000000	{-1.7892900293804412,34.70306767907715}
206400000	{-1.8683926915424605,34.55865992632436}
206800000	{-1.8451375472120235,34.66471792767509}
207200000	{-1.88501425230845,34.86419656636313}
207600000	{-1.701578275607556,34.5486420974257}
208000000	{-1.891864943054875,34.70978819784484}
208400000	{-1.7522062351096335,34.682577666887326}
208800000	{-1.8513017410864774,34.70695081220867}
209200000	{-1.6783467449901746,34.35713058786676}
209600000	{-1.6608257692510182,34.56232656423807}
210000000	{-1.9183404709244603,34.76816423778776}
210400000	{-1.7892938929888154,34.300994829975444}
210800000	{-1.429406043036683,34.75235155769401}
211200000	{-1.8928047269377146,34.586723759202506}
211600000	{-1.9292715913451162,34.587468903295495}
212000000	{-1.825120119618647,34.59833967927833}
212400000	{-1.7347237477166138,34.83707575281365}
212800000	{-1.8077248266556674,34.408703471893446}
213200000	{-1.8325678594045491,34.720697211246424}
213600000	{-1.8997681966433162,34.6464376951068}
214000000	{-1.7352733952135433,34.62738329638177}
214400000	{-1.9135629286426274,34.71112313470943}
214800000	{-1.9390138533820838,34.56240285819721}
215200000	{-1.9203369798052876,34.67141076588846}
215600000	{-1.5635854460190899,34.80983540232847}
216000000	{-1.9523787521825353,34.70691445255076}
216400000	{-1.7420522224163515,34.6474686812744}
216800000	{-1.8872550268182484,34.545895090896835}
217200000	{-1.9547973764493194,34.48873416768689}
217600000	{-1.925582801636851,34.737770225556275}
218000000	{-1.8431309342437314,34.670415494482974}
218400000	{-1.7682789575894322,34.621409077286295}
218800000	{-1.9740922706295203,34.67010417399307}
219200000	{-1.9038806626845821,34.56373801052549}
219600000	{-1.8316185499380413,34.50844780669387}
220000000	{-1.913698548201115,34.76228261638703}
220400000	{-1.9282521888243802,34.80078481465651}
220800000	{-1.8548967167377355,34.77084288542883}
221200000	{-1.8447018960874537,34.63204618902914}
221600000	{-1.6822086851880897,34.223539792063775}
222000000	{-1.7358010015606944,34.413296808895566}
222400000	{-1.7727398606481741,34.66015789930019}
222800000	{-1.9252003197257939,34.78853667891933}
223200000	{-1.8352119312407378,34.53890552354298}
223600000	{-1.9724319156845076,34.65131464949557}
224000000	{-1.9530333204155048,34.851584500665474}
224400000	{-1.9369628787848185,34.453862720818236}
224800000	{-1.7447468027585278,34.5891263230122}
225200000	{-1.9888601262801995,34.805884595099826}
225600000	{-1.7362896808807806,34.46093837766353}
226000000	{-1.6227635388353816,34.331640833158225}
226400000	{-1.9038135439357158,34.678373561232306}
226800000	{-1.819184601592357,34.76286185431229}
227200000	{-1.8187873333850275,34.73204414456803}
227600000	{-1.7160636522922486,34.645972890531}
228000000	{-1.4919476428909848,34.49919084217773}
228400000	{-1.9805003935579109,34.66797776328272}
228800000	{-1.907366622558259,34.75461846084803}
229200000	{-1.8856889897067042,34.8538253558148}
229600000	{-1.6755124167520414,34.653019377678575}
230000000	{-1.8046439321844179,34.62264370200525}
230400000	{-1.8465668891273785,34.72512707788219}
230800000	{-1.777900400321115,34.63734783911445}
231200000	{-1.9218865102825973,34.562681490159285}
231600000	{-1.7631784519466505,34.5696254240425}
