Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,0,0,25,0,289.370422363281,36.7999992370605,27.8745001157125,1360
0,0,0,25,0,267.591217041016,49.3199996948242,27.9806664784749,1274
0,0,0,25,0,47.7570571899414,119.680000305176,27.1864999930064,1349
0,0,0,25,0,57.4588432312012,93.9599990844727,27.3566669623057,1371
0,0,0,25,0,198.030044555664,55.1199989318848,27.9605000019073,1282
0,0,0,25,0,198.030044555664,55.1199989318848,27.9605000019073,1282
0,0,0,25,0,420.439483642578,24.7999992370605,28.1930001576742,1252
0,0,0,25,0,138.669631958008,61.6800003051758,27.9315001169841,1313
0,0,0,25,0,179.417816162109,52.6399993896484,27.9699997107188,1297
0,0,0,25,0,198.030044555664,55.1199989318848,27.9605000019073,1282
0,0,0,25,0,23.5732917785645,92.879997253418,27.3108332951864,1380
0,0,0,25,0,198.030044555664,55.1199989318848,27.9605000019073,1282
0,0,0,25,0,179.417816162109,52.6399993896484,27.9699997107188,1297
0,0,0,25,0,34.2886962890625,96.9599990844727,27.0474997361501,1704
0,0,0,25,0,149.656021118164,66,27.1854998270671,2268
19,0,0,6,0,25.0288124084473,75.0800018310547,27.3620000680288,3064
0,4,1,15,5,237.411575317383,8.68000030517578,27.7025002638499,2957
25,0,0,0,0,0.346348077058792,204.520004272461,26.3018333117167,2599
25,0,0,0,0,1.30465495586395,371.040008544922,25.5163333415985,2921
25,0,0,0,0,0.170171231031418,545.359985351562,24.5583333174388,2220
0,0,0,25,0,256.622528076172,19.3999996185303,28.2433333396912,1276
0,0,0,10,15,415.878540039062,7.48000001907349,27.7403331597646,1263
21,4,0,0,0,8.67881202697754,468.880004882812,24.9841666221619,2150
18,1,0,6,0,25.2804355621338,119.080001831055,26.3776667912801,1818
0,25,0,0,0,8.5733814239502,73.0400009155273,27.0359999338786,1827
0,23,2,0,0,9.65123653411865,72.4000015258789,26.8479999701182,1987
1,22,0,2,0,9.42001247406006,99.1600036621094,26.7633334795634,1914
25,0,0,0,0,4.27659368515015,152.639999389648,26.2189999421438,1748
5,20,0,0,0,6.89154434204102,117.839996337891,26.743833065033,1772
0,25,0,0,0,4.73567628860474,108.519996643066,26.7470002174377,1839
0,25,0,0,0,4.64435863494873,119.040000915527,26.8703333536784,1790
0,25,0,0,0,2.44123601913452,117,26.9271665414174,1802
25,0,0,0,0,2.27285575866699,169.440002441406,26.1086667378743,1732
0,25,0,0,0,2.42445731163025,125.839996337891,26.7791665395101,1788
25,0,0,0,0,17.2418670654297,496.079986572266,24.6746666431427,1817
25,0,0,0,0,11.2644052505493,89,26.4886666933695,1700
0,0,0,25,0,301.270385742188,13.4399995803833,27.5426667531331,1435
0,0,0,25,0,4839.673828125,15.6800003051758,28.2700000603994,1309
0,0,0,25,0,4839.673828125,15.6800003051758,28.2700000603994,1309
0,0,0,25,0,471.499206542969,14.6000003814697,28.0439998308818,1264
0,0,0,24,0,92.2707672119141,2.75999999046326,27.6308334668477,1368
0,0,0,25,0,739.555419921875,3.96000003814697,27.5821666717529,1339
0,0,0,25,0,442.925231933594,8.11999988555908,27.9405001799266,1271
0,0,0,25,0,20.6456336975098,1.51999998092651,27.6160000960032,1337
0,0,0,25,0,520.984130859375,8,27.7731665770213,1287
0,0,0,25,0,138.089797973633,10.8400001525879,27.9673333962758,1486
0,0,0,25,0,114.572792053223,9.92000007629395,27.9258333047231,1389
0,0,0,25,0,210.552169799805,9.72000026702881,27.9136664867401,1460
0,0,0,25,0,13682.9130859375,9.92000007629395,28.1923330624898,1350
0,0,0,25,0,13682.9130859375,9.92000007629395,28.1923330624898,1350
0,0,0,25,0,868.436889648438,9.80000019073486,27.9541668097178,1300
0,0,0,25,0,177.303268432617,61.560001373291,27.7394998073578,1639
0,0,0,25,0,2890.34741210938,11.8000001907349,28.1573332945506,1308
0,0,0,19,4,131.852111816406,5.80000019073486,27.4418334960938,1321
0,0,0,25,0,175.638031005859,60.560001373291,27.6318334738414,1778
25,0,0,0,0,30.0470581054688,61.3199996948242,26.6351665655772,1727
3,0,0,22,0,59.7987098693848,78.879997253418,26.7439997196198,1793
25,0,0,0,0,25.1236038208008,96.6800003051758,26.5339999993642,1777
6,2,0,17,0,29.6970996856689,59.3600006103516,26.7349998950958,1785
1,0,19,0,5,30.7257118225098,9.68000030517578,27.4969998995463,1652
3,0,0,22,0,18.9763488769531,78.879997253418,26.7439997196198,1793
0,0,0,21,4,181.562103271484,14.1599998474121,27.1764998435974,1835
0,20,0,5,0,49.1803817749023,36.5999984741211,27.1459998289744,1876
25,0,0,0,0,30.0470581054688,61.3199996948242,26.6351665655772,1727
25,0,0,0,0,32.5093994140625,59.2000007629395,26.6851665973663,1736
25,0,0,0,0,7.07858610153198,90.1600036621094,26.4653333822886,1723
25,0,0,0,0,24.3166847229004,94.8000030517578,26.4426667690277,1748
0,22,0,1,0,7.48709201812744,47.2000007629395,26.9775000413259,1790
19,6,0,0,0,14.739520072937,93.9599990844727,26.5553332964579,1761
15,0,3,7,0,13.4781551361084,70.1999969482422,26.6911663214366,1734
0,0,0,25,0,186.170333862305,43.9199981689453,27.6299997170766,1795
0,0,0,24,1,116.352699279785,8.23999977111816,27.6160002549489,1383
0,0,0,16,6,188.016906738281,5.76000022888184,27.4898331960042,1301
1,0,0,24,0,119.000839233398,4.03999996185303,27.5786666870117,1275
0,0,0,25,0,193.111419677734,8,27.7731665770213,1287
0,0,0,25,0,520.984130859375,8,27.7731665770213,1287
0,0,0,16,0,8973.994140625,10.0799999237061,27.9471663633982,1338
0,0,0,10,12,219.177673339844,7.40000009536743,27.5084999402364,1330
2,0,0,15,6,292.832305908203,6.55999994277954,27.5036665598551,1298
0,0,0,24,1,116.352699279785,8.23999977111816,27.6160002549489,1383
0,0,0,20,3,108.683067321777,7.92000007629395,27.4701665242513,1345
